market_segment,previous_cancellations,deposit_type,days_in_waiting_list,customer_type,reserved_room_type,required_car_parking_spaces,total_of_special_requests,lead_time,is_canceled
Offline TA/TO,0,No Deposit,0,Transient-Party,A,0,1,36,0
Offline TA/TO,0,No Deposit,0,Transient,F,0,1,109,0
Online TA,0,No Deposit,0,Contract,A,0,0,2,0
Online TA,0,No Deposit,0,Transient,G,1,1,3,0
Online TA,0,No Deposit,0,Transient,D,0,1,147,0
Online TA,0,No Deposit,0,Transient,Others,1,1,14,0
Online TA,0,No Deposit,0,Transient,D,0,1,1,0
Online TA,0,No Deposit,0,Transient-Party,F,0,1,92,0
Direct,0,No Deposit,0,Transient,E,0,1,219,1
Offline TA/TO,0,No Deposit,0,Transient,A,0,0,87,1
Online TA,0,No Deposit,0,Transient,G,0,1,185,0
Online TA,0,No Deposit,0,Transient,Others,1,1,114,0
Online TA,0,No Deposit,0,Transient,G,1,0,51,0
Groups,0,No Deposit,0,Transient-Party,A,0,1,422,0
Online TA,0,No Deposit,0,Transient,G,0,1,19,1
Direct,0,No Deposit,0,Transient,F,0,1,11,0
Corporate,0,No Deposit,0,Transient-Party,A,0,0,1,0
Online TA,0,No Deposit,0,Transient,G,0,1,141,0
Offline TA/TO,0,No Deposit,0,Transient,A,0,1,116,0
Online TA,0,No Deposit,0,Transient,E,0,1,138,0
Online TA,0,No Deposit,0,Transient,A,1,1,131,0
Online TA,0,No Deposit,0,Transient,B,0,0,9,1
Online TA,0,No Deposit,0,Transient,D,0,0,17,1
Online TA,0,No Deposit,0,Transient,G,0,1,95,0
Offline TA/TO,0,No Deposit,0,Transient,A,0,0,4,0
Online TA,0,No Deposit,0,Transient,D,0,1,59,1
Corporate,1,No Deposit,0,Transient-Party,E,1,1,26,0
Online TA,0,No Deposit,0,Transient,F,0,0,85,1
Offline TA/TO,0,No Deposit,0,Transient-Party,D,0,0,309,0
Online TA,1,No Deposit,0,Transient,D,0,1,89,1
Direct,0,No Deposit,0,Transient,D,0,1,19,0
Offline TA/TO,0,No Deposit,0,Transient,D,0,0,88,0
Direct,0,No Deposit,0,Transient,E,0,1,274,0
Online TA,0,No Deposit,0,Transient-Party,A,1,0,0,0
Online TA,0,No Deposit,0,Transient,G,0,0,68,1
Online TA,0,No Deposit,0,Transient,F,0,1,40,1
Online TA,0,No Deposit,0,Transient,A,0,1,154,1
Online TA,0,Non Refund,0,Transient,A,0,0,0,1
Others,1,No Deposit,0,Transient,G,0,1,0,1
Online TA,0,No Deposit,0,Transient-Party,D,1,0,101,0
Corporate,1,No Deposit,0,Transient,A,0,0,19,0
Direct,0,No Deposit,0,Transient-Party,B,0,0,1,0
Direct,0,No Deposit,0,Transient,B,0,1,225,1
Corporate,0,No Deposit,0,Transient,A,0,1,1,1
Groups,0,No Deposit,0,Transient-Party,A,1,0,17,0
Others,0,No Deposit,0,Transient,A,0,0,1,0
Direct,0,No Deposit,0,Transient,B,0,1,343,0
Online TA,0,No Deposit,0,Transient-Party,D,0,1,0,0
Online TA,0,No Deposit,0,Transient,G,0,1,85,0
Others,0,No Deposit,0,Transient,A,0,0,11,0
Online TA,0,No Deposit,0,Transient,A,0,1,47,0
Online TA,0,No Deposit,0,Transient,F,0,0,82,1
Online TA,0,No Deposit,0,Group,A,0,1,33,0
Direct,0,No Deposit,0,Transient,A,0,1,66,0
Offline TA/TO,0,No Deposit,0,Transient-Party,A,0,1,24,0
Offline TA/TO,0,No Deposit,0,Transient-Party,A,0,0,81,0
Online TA,0,No Deposit,0,Transient-Party,E,0,1,130,0
Online TA,0,No Deposit,0,Transient,D,0,1,73,0
Online TA,1,No Deposit,0,Contract,B,0,1,11,1
Online TA,0,No Deposit,0,Transient,E,1,0,86,0
Direct,0,No Deposit,0,Transient,G,0,0,84,1
Direct,0,No Deposit,0,Transient-Party,D,0,0,107,0
Direct,0,No Deposit,0,Transient,Others,0,1,61,0
Online TA,0,No Deposit,0,Transient,D,1,1,67,0
Online TA,0,No Deposit,0,Transient-Party,A,0,0,137,0
Direct,0,No Deposit,0,Transient-Party,D,0,0,169,0
Online TA,0,No Deposit,0,Transient-Party,A,0,0,16,1
Direct,0,No Deposit,0,Transient-Party,A,0,1,215,0
Online TA,0,No Deposit,0,Transient,A,0,1,237,0
Online TA,0,No Deposit,0,Transient-Party,A,0,0,290,0
Offline TA/TO,0,No Deposit,0,Transient,A,0,1,184,0
Online TA,0,No Deposit,0,Transient,A,0,1,76,1
Online TA,0,No Deposit,0,Transient,D,1,1,101,0
Offline TA/TO,0,No Deposit,0,Transient-Party,A,0,1,320,0
Online TA,0,No Deposit,0,Transient,E,0,0,15,0
Online TA,0,No Deposit,0,Transient-Party,D,0,1,33,0
Direct,0,No Deposit,0,Transient,A,0,0,43,0
Online TA,0,No Deposit,0,Transient,D,0,0,143,1
Online TA,0,No Deposit,0,Contract,A,0,1,35,0
Direct,0,No Deposit,0,Transient,G,0,1,122,0
Direct,0,No Deposit,0,Transient-Party,E,1,1,2,0
Others,0,No Deposit,0,Transient,G,0,1,3,0
Direct,0,No Deposit,0,Transient,E,0,0,1,0
Corporate,1,No Deposit,0,Transient,A,0,0,16,0
Online TA,0,No Deposit,0,Transient-Party,D,0,1,80,0
Online TA,0,No Deposit,0,Transient,A,0,1,233,0
Online TA,1,No Deposit,0,Transient,G,0,1,252,1
Online TA,0,No Deposit,0,Transient,F,0,1,1,0
Online TA,0,No Deposit,0,Transient,A,0,1,147,1
Direct,0,No Deposit,0,Transient,A,0,1,25,0
Direct,0,No Deposit,0,Group,E,0,0,4,0
Direct,0,No Deposit,0,Transient,A,1,1,86,0
Online TA,0,No Deposit,0,Transient-Party,A,0,1,110,0
Groups,0,No Deposit,0,Transient-Party,A,0,0,45,0
Direct,0,No Deposit,0,Transient,F,0,1,67,0
Online TA,0,No Deposit,0,Transient,A,0,0,6,0
Direct,0,No Deposit,0,Transient,A,0,1,121,0
Online TA,0,No Deposit,0,Transient,E,0,1,45,0
Online TA,0,No Deposit,0,Transient,D,0,1,69,0
Offline TA/TO,0,No Deposit,0,Transient-Party,Others,0,1,11,0
Online TA,0,No Deposit,0,Transient,A,1,1,41,0
Online TA,0,No Deposit,0,Group,F,0,1,10,0
Online TA,0,No Deposit,0,Contract,D,0,1,0,0
Corporate,0,No Deposit,0,Group,G,0,0,10,1
Offline TA/TO,0,No Deposit,0,Transient-Party,E,0,0,136,0
Online TA,0,No Deposit,0,Contract,D,0,1,14,0
Direct,0,No Deposit,0,Transient,G,1,0,42,0
Online TA,0,No Deposit,0,Transient,A,0,0,165,1
Offline TA/TO,0,No Deposit,0,Transient,D,0,0,218,0
Corporate,0,No Deposit,0,Transient,D,0,0,12,1
Corporate,0,No Deposit,0,Transient,D,0,0,9,0
Offline TA/TO,0,No Deposit,0,Transient,A,1,0,333,0
Offline TA/TO,0,No Deposit,0,Transient,D,0,0,139,0
Groups,0,No Deposit,0,Transient-Party,A,0,1,233,0
Offline TA/TO,0,No Deposit,0,Transient,D,0,1,19,0
Online TA,0,No Deposit,0,Transient,D,0,1,36,0
Direct,0,No Deposit,0,Transient-Party,A,0,1,117,0
Online TA,0,No Deposit,0,Transient,D,1,0,16,0
Direct,1,No Deposit,0,Group,A,0,0,26,1
Offline TA/TO,0,No Deposit,0,Transient,A,0,0,206,0
Corporate,0,No Deposit,0,Transient,A,0,0,6,0
Offline TA/TO,0,No Deposit,0,Transient-Party,A,0,1,213,0
Online TA,0,No Deposit,0,Contract,A,1,1,278,0
Online TA,0,No Deposit,0,Transient,B,0,0,178,0
Online TA,0,No Deposit,0,Contract,A,0,0,35,0
Direct,0,No Deposit,0,Transient-Party,F,0,0,19,1
Online TA,0,No Deposit,0,Transient,D,0,1,275,0
Direct,0,No Deposit,0,Transient,F,0,0,138,0
Direct,0,No Deposit,0,Transient,F,1,1,24,0
Offline TA/TO,0,No Deposit,0,Transient,D,0,0,221,0
Online TA,0,No Deposit,0,Transient-Party,A,1,1,10,0
Direct,0,No Deposit,0,Transient,F,1,1,194,0
Direct,0,No Deposit,0,Transient,D,0,0,46,1
Online TA,0,No Deposit,0,Transient,F,0,1,58,0
Offline TA/TO,0,No Deposit,0,Transient-Party,E,0,1,264,0
Groups,0,No Deposit,0,Transient-Party,A,1,0,82,0
Direct,0,No Deposit,0,Transient,E,0,1,22,0
Direct,0,No Deposit,0,Transient,D,0,1,16,0
Online TA,0,No Deposit,0,Transient,B,0,0,11,0
Online TA,0,No Deposit,0,Transient,Others,0,0,241,0
Direct,0,No Deposit,0,Transient,D,0,1,83,0
Groups,0,No Deposit,0,Transient-Party,A,0,1,236,0
Online TA,0,No Deposit,0,Transient-Party,D,0,0,169,0
Online TA,0,No Deposit,0,Transient,D,0,1,319,1
Online TA,0,No Deposit,0,Transient,Others,0,0,41,0
Offline TA/TO,0,No Deposit,0,Transient-Party,A,0,1,159,0
Online TA,0,No Deposit,0,Transient-Party,D,0,1,22,0
Corporate,1,No Deposit,0,Transient,A,0,1,0,1
Online TA,0,No Deposit,0,Transient,D,1,1,37,0
Offline TA/TO,1,Non Refund,0,Transient-Party,A,0,0,260,1
Corporate,0,No Deposit,0,Transient,A,0,0,15,0
Direct,0,No Deposit,0,Transient,G,1,1,27,0
Direct,0,No Deposit,0,Transient,Others,0,0,112,1
Online TA,0,No Deposit,0,Transient,A,0,1,203,0
Direct,0,No Deposit,0,Transient,E,0,0,145,0
Online TA,0,No Deposit,0,Transient,D,0,1,269,1
Online TA,0,No Deposit,0,Transient,B,1,1,238,0
Direct,0,No Deposit,0,Transient-Party,E,0,0,16,0
Others,0,No Deposit,0,Transient,E,0,0,2,0
Corporate,0,No Deposit,0,Transient-Party,E,0,1,24,0
Offline TA/TO,0,No Deposit,0,Transient,A,0,1,140,0
Direct,0,No Deposit,0,Transient,Others,0,1,22,0
Online TA,1,No Deposit,0,Transient,D,0,0,26,1
Online TA,0,No Deposit,0,Transient,A,0,0,54,1
Direct,0,No Deposit,0,Transient,D,1,1,114,0
Direct,0,No Deposit,0,Transient,F,0,1,15,0
Online TA,0,No Deposit,0,Transient,A,0,1,236,1
Online TA,0,No Deposit,0,Transient,E,0,1,3,0
Online TA,0,No Deposit,0,Transient,G,1,0,4,0
Groups,0,No Deposit,0,Transient,A,0,0,75,0
Online TA,0,No Deposit,0,Transient,D,0,1,201,0
Offline TA/TO,0,No Deposit,0,Transient-Party,A,0,0,12,0
Online TA,0,No Deposit,0,Transient-Party,A,0,0,146,1
Corporate,0,Non Refund,0,Transient-Party,A,0,0,7,0
Online TA,0,No Deposit,0,Transient,E,0,0,18,0
Direct,0,No Deposit,0,Transient,G,1,0,37,0
Groups,0,No Deposit,0,Transient,A,0,1,4,0
Online TA,0,No Deposit,0,Transient-Party,B,0,0,1,0
Offline TA/TO,0,No Deposit,0,Transient,D,0,0,120,0
Direct,0,No Deposit,0,Transient,F,0,1,17,0
Groups,0,No Deposit,0,Transient-Party,A,1,0,83,0
Online TA,0,No Deposit,0,Transient,F,1,1,221,0
Direct,0,No Deposit,0,Transient,D,0,1,45,1
Online TA,0,No Deposit,0,Transient,G,0,0,0,0
Direct,0,No Deposit,0,Transient,A,0,0,83,0
Corporate,0,No Deposit,0,Transient,E,0,0,25,1
Online TA,0,No Deposit,0,Transient,F,0,0,24,0
Corporate,0,No Deposit,0,Transient,E,0,1,1,1
Online TA,0,No Deposit,0,Transient,D,0,0,22,1
Online TA,0,No Deposit,0,Transient-Party,A,1,1,210,0
Others,0,No Deposit,0,Transient,D,0,1,23,0
Others,0,No Deposit,0,Transient,E,0,1,72,1
Online TA,0,No Deposit,0,Contract,A,1,1,35,0
Corporate,0,No Deposit,0,Transient-Party,E,0,0,41,1
Offline TA/TO,0,No Deposit,0,Contract,A,0,0,163,0
Online TA,0,No Deposit,0,Transient,Others,0,0,0,1
Direct,0,No Deposit,0,Transient,A,0,0,27,1
Online TA,0,No Deposit,0,Transient,D,0,1,180,1
Online TA,0,No Deposit,0,Transient-Party,A,0,0,0,0
Direct,0,No Deposit,0,Transient,Others,0,1,72,0
Direct,0,No Deposit,0,Transient-Party,A,0,1,15,0
Online TA,0,No Deposit,0,Transient,A,0,1,93,1
Online TA,0,No Deposit,0,Transient,F,0,1,209,0
Corporate,0,No Deposit,0,Transient,A,1,0,5,0
Groups,1,Non Refund,0,Contract,A,0,0,286,1
Online TA,0,No Deposit,0,Transient,B,0,0,8,1
Direct,0,No Deposit,0,Transient,D,0,0,16,1
Online TA,0,No Deposit,0,Transient,A,1,1,68,0
Direct,0,No Deposit,0,Transient-Party,F,0,0,52,0
Online TA,0,No Deposit,0,Transient,A,0,0,38,0
Offline TA/TO,0,No Deposit,0,Transient,A,0,1,25,0
Online TA,0,No Deposit,0,Transient,B,0,1,161,1
Online TA,0,No Deposit,0,Transient,D,0,1,179,1
Online TA,0,No Deposit,0,Transient,F,0,1,32,0
Online TA,0,No Deposit,0,Transient-Party,G,0,0,174,0
Online TA,0,No Deposit,0,Transient,E,0,0,120,0
Direct,0,No Deposit,0,Group,D,0,0,334,1
Corporate,0,No Deposit,0,Transient,D,0,0,36,0
Offline TA/TO,0,No Deposit,0,Transient-Party,A,0,1,115,0
Online TA,0,No Deposit,0,Transient-Party,A,0,0,8,0
Online TA,0,No Deposit,0,Transient,A,0,1,181,1
Online TA,0,No Deposit,0,Transient,E,0,1,5,0
Online TA,0,No Deposit,0,Transient,G,1,0,42,0
Online TA,0,No Deposit,0,Transient,E,0,1,1,1
Online TA,0,No Deposit,0,Transient-Party,B,0,0,56,1
Offline TA/TO,0,No Deposit,0,Transient,E,0,0,146,0
Groups,0,No Deposit,0,Transient-Party,A,1,1,364,0
Offline TA/TO,0,No Deposit,0,Transient,Others,1,0,176,0
Direct,0,No Deposit,0,Transient,A,0,0,250,1
Online TA,0,No Deposit,0,Transient,D,0,1,108,0
Online TA,0,No Deposit,0,Transient,F,0,0,158,0
Others,0,No Deposit,0,Transient,D,0,1,11,0
Direct,0,No Deposit,0,Transient,D,1,1,1,0
Online TA,0,No Deposit,0,Transient,A,0,0,51,0
Online TA,0,No Deposit,0,Transient,Others,0,1,83,0
Offline TA/TO,0,No Deposit,0,Transient,D,0,0,17,0
Offline TA/TO,0,No Deposit,0,Transient,A,0,0,3,0
Offline TA/TO,0,No Deposit,0,Transient-Party,E,0,1,131,0
Offline TA/TO,0,No Deposit,0,Transient-Party,A,0,1,88,0
Online TA,0,No Deposit,0,Transient,D,0,1,204,1
Groups,0,No Deposit,0,Transient-Party,A,0,0,276,0
Online TA,0,No Deposit,0,Transient,D,0,0,120,0
Online TA,0,No Deposit,0,Transient,A,0,1,259,1
Corporate,1,No Deposit,0,Transient,A,1,1,1,0
Online TA,0,No Deposit,0,Transient,D,1,1,40,0
Direct,0,No Deposit,0,Transient,Others,0,1,23,0
Online TA,0,No Deposit,0,Transient-Party,A,0,1,98,0
Online TA,0,No Deposit,0,Transient,E,1,1,148,0
Groups,0,No Deposit,0,Transient-Party,A,1,0,60,0
Offline TA/TO,0,No Deposit,0,Transient,Others,0,0,216,0
Direct,0,No Deposit,0,Transient-Party,G,1,0,0,0
Online TA,1,No Deposit,0,Transient,E,0,0,250,1
Online TA,0,No Deposit,0,Transient,E,1,1,43,0
Direct,0,No Deposit,0,Transient,G,1,1,3,0
Online TA,0,No Deposit,0,Transient,G,0,1,147,0
Online TA,0,No Deposit,0,Transient-Party,D,0,1,110,0
Online TA,0,No Deposit,0,Transient-Party,Others,0,0,127,0
Groups,0,Non Refund,0,Transient-Party,A,0,0,215,0
Online TA,0,No Deposit,0,Transient,A,1,1,26,0
Online TA,0,No Deposit,0,Transient,D,0,1,69,1
Offline TA/TO,0,No Deposit,0,Transient,A,0,0,1,0
Others,1,No Deposit,0,Transient,D,0,1,2,0
Direct,0,No Deposit,0,Transient,F,0,0,145,1
Online TA,0,No Deposit,0,Transient-Party,A,0,1,57,0
Online TA,0,No Deposit,0,Transient,A,1,1,180,0
Online TA,0,No Deposit,0,Transient,D,0,1,298,1
Direct,0,No Deposit,0,Group,A,0,0,23,0
Groups,0,No Deposit,0,Group,A,0,0,67,0
Online TA,0,No Deposit,0,Contract,B,0,1,320,0
Direct,0,No Deposit,0,Transient,G,0,0,130,1
Online TA,0,No Deposit,0,Transient,Others,0,0,110,0
Online TA,0,No Deposit,0,Transient,D,0,1,130,0
Online TA,0,No Deposit,0,Transient,G,1,0,10,0
Online TA,0,No Deposit,0,Transient,A,1,1,148,0
Online TA,0,No Deposit,0,Transient,A,0,0,12,0
Direct,0,No Deposit,0,Transient,Others,0,1,3,1
Offline TA/TO,0,No Deposit,0,Transient,A,0,0,6,0
Online TA,0,No Deposit,0,Transient,G,1,1,153,0
Offline TA/TO,0,No Deposit,0,Transient-Party,A,0,0,31,0
Online TA,1,No Deposit,0,Transient,Others,0,0,14,1
Online TA,0,No Deposit,0,Transient-Party,D,0,0,22,0
Online TA,0,No Deposit,0,Transient,A,1,1,1,0
Direct,0,No Deposit,0,Transient,F,0,0,10,0
Offline TA/TO,0,No Deposit,0,Transient-Party,A,0,1,133,0
Offline TA/TO,0,No Deposit,0,Contract,E,1,0,174,0
Direct,0,No Deposit,0,Transient,D,0,1,204,0
Online TA,0,No Deposit,0,Transient,Others,1,0,127,0
Online TA,0,No Deposit,0,Transient,D,0,1,165,1
Online TA,0,No Deposit,0,Transient,F,1,1,154,0
Online TA,0,No Deposit,0,Transient,E,1,1,164,0
Corporate,0,No Deposit,0,Transient,A,0,1,18,0
Corporate,0,No Deposit,0,Transient-Party,A,0,0,32,0
Online TA,0,No Deposit,0,Contract,F,0,1,62,0
Direct,0,No Deposit,0,Transient,G,0,1,220,1
Offline TA/TO,0,No Deposit,0,Transient,E,0,1,40,0
Online TA,0,No Deposit,0,Group,A,0,0,19,0
Online TA,0,No Deposit,0,Transient,A,0,1,112,0
Online TA,0,No Deposit,0,Transient,A,0,0,67,1
Online TA,0,No Deposit,0,Transient,A,0,1,55,1
Offline TA/TO,0,No Deposit,0,Transient,A,0,1,131,0
Offline TA/TO,0,No Deposit,0,Contract,E,0,1,272,0
Direct,0,No Deposit,0,Transient,A,1,1,0,0
Offline TA/TO,0,No Deposit,0,Transient-Party,A,0,1,35,0
Direct,0,No Deposit,0,Transient,E,0,1,326,1
Online TA,0,No Deposit,0,Transient,G,0,1,14,1
Direct,0,No Deposit,0,Transient,A,0,0,209,1
Online TA,0,No Deposit,0,Transient-Party,B,0,1,217,0
Groups,0,No Deposit,0,Transient,A,0,1,1,0
Offline TA/TO,0,No Deposit,0,Transient,D,0,1,117,0
Online TA,0,No Deposit,0,Transient-Party,A,0,1,135,0
Online TA,0,No Deposit,0,Transient-Party,D,0,1,187,0
Online TA,0,No Deposit,0,Transient,F,0,1,274,0
Online TA,0,No Deposit,0,Transient,F,0,0,88,1
Online TA,0,No Deposit,0,Transient,D,0,1,81,1
Online TA,0,No Deposit,0,Transient,E,0,0,67,1
Groups,0,No Deposit,0,Transient-Party,A,0,0,2,0
Online TA,0,No Deposit,0,Transient,G,0,0,123,1
Online TA,0,No Deposit,0,Transient,D,0,1,37,0
Offline TA/TO,0,No Deposit,0,Transient-Party,D,0,1,7,0
Online TA,0,No Deposit,0,Transient-Party,D,0,0,114,0
Online TA,0,No Deposit,0,Transient,D,0,1,264,0
Online TA,0,No Deposit,0,Transient,D,0,1,31,0
Direct,0,No Deposit,0,Transient,A,1,1,49,0
Online TA,0,No Deposit,0,Transient,E,0,1,68,0
Offline TA/TO,0,No Deposit,0,Transient,D,0,1,50,0
Direct,0,No Deposit,0,Transient,B,0,1,12,0
Groups,0,No Deposit,0,Transient,A,0,1,58,0
Direct,0,No Deposit,0,Transient,D,0,0,16,0
Online TA,0,No Deposit,0,Transient-Party,A,0,1,82,0
Online TA,0,No Deposit,0,Transient,A,0,1,51,0
Direct,0,No Deposit,0,Transient,E,0,1,210,1
Others,0,No Deposit,0,Transient,A,0,1,0,0
Direct,0,No Deposit,0,Transient,A,0,1,8,1
Online TA,0,No Deposit,0,Transient,E,0,1,65,1
Online TA,0,No Deposit,0,Transient,A,0,1,0,0
Online TA,0,No Deposit,0,Transient,E,0,0,33,0
Online TA,0,No Deposit,0,Transient,A,0,1,186,0
Groups,0,No Deposit,0,Transient-Party,A,0,0,183,0
Offline TA/TO,0,No Deposit,0,Transient,D,1,0,7,0
Corporate,1,No Deposit,0,Transient,A,0,1,5,0
Online TA,0,No Deposit,0,Transient,F,0,1,66,0
Online TA,0,No Deposit,0,Transient-Party,A,0,0,127,0
Direct,0,No Deposit,0,Transient,A,0,1,39,0
Online TA,0,No Deposit,0,Transient,D,0,0,7,0
Online TA,0,No Deposit,0,Transient-Party,A,0,1,1,0
Online TA,0,No Deposit,0,Transient,A,0,1,211,1
Online TA,0,No Deposit,0,Contract,A,0,0,0,0
Direct,0,No Deposit,0,Transient,A,0,0,15,0
Online TA,0,No Deposit,0,Contract,A,0,1,57,0
Direct,0,No Deposit,0,Transient-Party,E,0,1,49,0
Online TA,0,No Deposit,0,Transient-Party,A,0,1,168,0
Offline TA/TO,0,No Deposit,0,Contract,A,0,1,322,0
Online TA,0,No Deposit,0,Transient,A,0,0,39,1
Online TA,0,No Deposit,0,Transient,E,0,0,19,1
Online TA,0,No Deposit,0,Transient,A,0,0,167,0
Direct,0,No Deposit,0,Transient,D,0,1,35,0
Online TA,0,No Deposit,0,Transient,A,0,1,321,1
Online TA,0,No Deposit,0,Transient,D,0,0,108,1
Direct,0,No Deposit,0,Transient,A,0,0,275,0
Online TA,0,No Deposit,0,Transient,G,1,1,5,0
Direct,0,No Deposit,0,Transient,G,1,0,25,0
Online TA,0,No Deposit,0,Transient,Others,1,1,37,0
Corporate,1,No Deposit,0,Transient,D,0,0,9,1
Offline TA/TO,0,No Deposit,0,Transient,E,0,0,15,0
Online TA,0,No Deposit,0,Transient,B,0,0,75,0
Online TA,0,No Deposit,0,Transient,A,0,1,28,0
Online TA,0,No Deposit,0,Transient,E,1,1,87,0
Online TA,0,No Deposit,0,Transient,G,1,0,30,0
Online TA,0,No Deposit,0,Transient,A,0,0,35,0
Online TA,0,No Deposit,0,Transient-Party,B,0,1,8,0
Online TA,0,No Deposit,0,Transient,D,1,1,69,0
Online TA,0,No Deposit,0,Transient,B,0,0,57,0
Online TA,0,No Deposit,0,Transient,F,0,1,183,1
Direct,0,No Deposit,0,Transient-Party,A,0,0,0,0
Direct,0,No Deposit,0,Transient,A,0,0,16,0
Offline TA/TO,0,No Deposit,0,Transient,E,0,1,88,0
Offline TA/TO,0,No Deposit,0,Transient,D,0,1,48,0
Online TA,0,No Deposit,0,Transient-Party,D,0,1,160,0
Offline TA/TO,0,No Deposit,0,Transient-Party,A,0,0,16,0
Online TA,0,No Deposit,0,Transient,A,0,1,149,0
Direct,0,No Deposit,0,Transient,D,1,0,47,0
Online TA,0,No Deposit,0,Transient,A,0,1,86,0
Direct,0,No Deposit,0,Transient-Party,E,0,1,156,0
Direct,0,No Deposit,0,Transient,Others,0,1,135,1
Online TA,0,No Deposit,0,Transient,D,0,0,46,0
Online TA,0,No Deposit,0,Transient-Party,Others,0,0,42,0
Corporate,0,No Deposit,0,Transient-Party,A,0,0,88,0
Offline TA/TO,0,No Deposit,0,Transient-Party,E,0,0,4,0
Direct,0,No Deposit,0,Transient-Party,A,0,0,6,0
Online TA,0,No Deposit,0,Transient,F,0,1,29,0
Offline TA/TO,0,Non Refund,0,Transient-Party,A,0,0,31,1
Offline TA/TO,0,No Deposit,0,Transient,E,1,0,43,0
Offline TA/TO,0,No Deposit,0,Contract,E,0,1,315,0
Groups,0,No Deposit,0,Transient-Party,A,0,1,181,0
Direct,0,No Deposit,0,Transient,G,0,0,10,1
Direct,0,No Deposit,0,Transient,G,1,1,17,0
Offline TA/TO,0,No Deposit,0,Transient,A,1,0,43,0
Direct,0,No Deposit,0,Transient,E,0,0,4,0
Direct,0,No Deposit,0,Transient-Party,B,0,0,0,0
Direct,0,No Deposit,0,Transient-Party,D,0,0,34,0
Online TA,0,No Deposit,0,Transient,G,0,1,34,0
Corporate,0,No Deposit,0,Group,A,1,0,3,0
Corporate,0,Non Refund,0,Transient,D,0,0,11,1
Online TA,0,No Deposit,0,Transient,A,0,1,5,0
Online TA,0,No Deposit,0,Transient,Others,0,1,209,0
Online TA,0,No Deposit,0,Transient-Party,B,0,1,195,0
Online TA,0,No Deposit,0,Transient,E,0,1,50,0
Direct,0,No Deposit,0,Transient,D,0,1,158,1
Online TA,0,No Deposit,0,Transient,G,0,1,9,0
Direct,0,No Deposit,0,Transient,A,1,1,31,0
Direct,0,No Deposit,0,Transient,A,0,1,12,1
Offline TA/TO,0,No Deposit,0,Transient-Party,A,0,1,89,0
Direct,0,No Deposit,0,Transient-Party,E,0,1,7,0
Direct,0,No Deposit,0,Transient,E,1,1,188,0
Online TA,0,No Deposit,0,Transient,A,0,0,156,1
Online TA,0,No Deposit,0,Transient,A,1,1,6,0
Offline TA/TO,1,No Deposit,0,Transient,A,0,1,183,1
Direct,0,No Deposit,0,Transient,G,0,0,0,1
Online TA,0,No Deposit,0,Transient,D,0,1,227,1
Online TA,0,No Deposit,0,Transient,A,0,1,4,0
Online TA,0,No Deposit,0,Transient-Party,A,0,1,31,1
Corporate,0,No Deposit,0,Transient-Party,A,0,1,28,0
Online TA,0,No Deposit,0,Transient,A,0,1,76,0
Direct,0,No Deposit,0,Transient-Party,D,0,0,116,0
Online TA,0,No Deposit,0,Transient,Others,0,0,85,1
Online TA,0,No Deposit,0,Transient,A,0,1,30,1
Direct,0,No Deposit,0,Transient,D,0,1,42,1
Direct,0,No Deposit,0,Transient,B,0,0,270,0
Online TA,0,No Deposit,0,Contract,A,1,1,1,0
Offline TA/TO,0,No Deposit,0,Transient-Party,A,0,0,405,0
Online TA,0,No Deposit,0,Transient-Party,A,0,1,130,0
Corporate,0,No Deposit,0,Transient,D,0,0,7,0
Online TA,0,No Deposit,0,Transient-Party,A,0,0,10,0
Direct,0,No Deposit,0,Group,F,1,1,1,0
Online TA,0,No Deposit,0,Transient,F,0,0,1,0
Online TA,0,No Deposit,0,Transient,E,0,1,212,0
Offline TA/TO,0,No Deposit,0,Transient,A,0,0,150,0
Online TA,0,No Deposit,0,Transient,Others,0,1,22,1
Groups,0,No Deposit,0,Transient-Party,E,0,1,137,0
Online TA,0,No Deposit,0,Transient,F,0,1,296,1
Online TA,0,No Deposit,0,Transient,B,0,1,47,0
Online TA,0,No Deposit,0,Transient-Party,D,1,1,65,0
Online TA,0,No Deposit,0,Transient,A,0,0,95,0
Online TA,0,No Deposit,0,Transient,B,0,0,66,1
Offline TA/TO,0,No Deposit,0,Transient-Party,A,0,0,70,1
Online TA,0,No Deposit,0,Transient,B,0,1,126,0
Direct,0,No Deposit,0,Transient,D,1,0,43,0
Offline TA/TO,0,No Deposit,0,Transient-Party,A,0,1,118,0
Online TA,0,No Deposit,0,Transient,F,0,1,68,0
Direct,0,No Deposit,0,Transient,G,1,0,1,0
Online TA,0,No Deposit,0,Transient,D,0,1,111,0
Online TA,0,No Deposit,0,Contract,F,0,0,13,0
Online TA,0,No Deposit,0,Transient,D,0,1,58,1
Offline TA/TO,0,No Deposit,0,Transient,E,1,1,238,0
Others,0,No Deposit,0,Transient,D,0,1,5,0
Direct,0,No Deposit,0,Transient,E,0,1,70,0
Offline TA/TO,0,No Deposit,0,Contract,A,0,0,125,0
Groups,0,No Deposit,0,Transient-Party,F,0,0,5,1
Online TA,0,No Deposit,0,Contract,A,0,1,51,0
Online TA,0,No Deposit,0,Transient-Party,B,0,1,70,0
Direct,0,No Deposit,0,Transient,E,0,1,118,0
Direct,0,No Deposit,0,Transient,G,0,1,343,0
Offline TA/TO,0,No Deposit,0,Transient,E,0,1,231,0
